;Number of Data;Title;Authors;Source;Year;T (K);p (kPa);C2H6;C3H8;C4H10;CO2;H2O in Hydrate;Nonpolar Liquid;N2;H2O in Aqueous Liquid;Vapor;H2O in Hydrate sII;H2O in Hydrate sI;Ice;CH4;H2S
0;Dataset 168;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;280.0;1207.0;1;1;1;1;1;1;0;1;0;0;0;0;0;0
1;Dataset 168;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;280.0;1351.0;1;1;1;1;1;1;0;1;0;0;0;0;0;0
2;Dataset 168;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;280.0;1427.0;1;1;1;1;1;1;0;1;0;0;0;0;0;0
3;Dataset 168;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;280.1;2399.0;1;1;1;1;1;1;0;1;0;0;0;0;0;0
4;Dataset 168;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;280.2;3689.0;1;1;1;1;1;1;0;1;0;0;0;0;0;0
5;Dataset 168;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;280.4;6129.0;1;1;1;1;1;1;0;1;0;0;0;0;0;0
6;Dataset 168;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;280.7;9377.0;1;1;1;1;1;1;0;1;0;0;0;0;0;0
7;Dataset 168;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;280.9;14403.0;1;1;1;1;1;1;0;1;0;0;0;0;0;0
8;Dataset 169;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;283.9;2344.0;1;1;1;1;1;1;0;1;0;0;0;0;0;0
9;Dataset 169;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;284.0;2496.0;1;1;1;1;1;1;0;1;0;0;0;0;0;0
