;Number of Data;Title;Authors;Source;Year;T (K);p (kPa);xC2H6;xC3H8;xCO2;xCH4;xN2;xC4H10;xH2S;C2H6;C3H8;H2O in Aqueous Liquid;Nonpolar Liquid;H2O in Hydrate;Vapor;H2O in Hydrate sII;H2O in Hydrate sI;CO2;C4H10;Ice;N2;CH4;H2S
21;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;276.63;4138.0;0.305;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
22;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;271.74;4138.0;0.305;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
23;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;266.67;4138.0;0.305;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
24;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;264.2;4138.0;0.305;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
25;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;276.82;4138.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
26;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;267.05;4138.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
27;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;260.37;4138.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
28;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;255.93;4138.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
29;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;277.87;4138.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
30;Dataset 100;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;275.93;4138.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;1;1;1;1;0;0;0;0;0;0;0;0;0;0
