;Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);nC4H10/nC3H8;nCO2/nC3H8;nC2H6/nC3H8;nN2/nC3H8;nC3H8/nCH4;nC2H6/nCH4;nC4H10/nCH4;nCH4/nC3H8;nN2/nCH4;nCO2/nCH4;nH2S/nC3H8;nN2/nCO2;nCO2/nN2
0;Dataset 168;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;C2H6 + C3H8 + C4H10 + CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280.0;1207.0;0.48700000000000004;0.12;0.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;Dataset 168;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;C2H6 + C3H8 + C4H10 + CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280.0;1351.0;0.48700000000000004;0.12;0.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;Dataset 168;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;C2H6 + C3H8 + C4H10 + CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280.0;1427.0;0.48700000000000004;0.12;0.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;Dataset 168;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;C2H6 + C3H8 + C4H10 + CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280.1;2399.0;0.48700000000000004;0.12;0.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4;Dataset 168;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;C2H6 + C3H8 + C4H10 + CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280.2;3689.0;0.48700000000000004;0.12;0.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;Dataset 168;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;C2H6 + C3H8 + C4H10 + CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280.4;6129.0;0.48700000000000004;0.12;0.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;Dataset 168;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;C2H6 + C3H8 + C4H10 + CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280.7;9377.0;0.48700000000000004;0.12;0.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;Dataset 168;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;C2H6 + C3H8 + C4H10 + CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;280.9;14403.0;0.48700000000000004;0.12;0.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;Dataset 169;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;C2H6 + C3H8 + C4H10 + CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;283.9;2344.0;0.49;0.6609999999999999;0.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;Dataset 169;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;C2H6 + C3H8 + C4H10 + CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;284.0;2496.0;0.49;0.6609999999999999;0.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;Dataset 169;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;C2H6 + C3H8 + C4H10 + CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;284.2;3316.0;0.49;0.6609999999999999;0.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;Dataset 169;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;C2H6 + C3H8 + C4H10 + CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;284.5;5130.0;0.49;0.6609999999999999;0.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;Dataset 169;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;C2H6 + C3H8 + C4H10 + CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;284.9;8163.0;0.49;0.6609999999999999;0.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13;Dataset 169;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;C2H6 + C3H8 + C4H10 + CO2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;285.7;14700.0;0.49;0.6609999999999999;0.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
14;Dataset 164;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;C2H6 + C3H8 + C4H10 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;277.7;1158.0;0.32799999999999996;0.0;0.608;0.0058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
15;Dataset 164;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;C2H6 + C3H8 + C4H10 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;277.7;1186.0;0.32799999999999996;0.0;0.608;0.0058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16;Dataset 164;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;C2H6 + C3H8 + C4H10 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;277.7;1462.0;0.32799999999999996;0.0;0.608;0.0058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
17;Dataset 164;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;C2H6 + C3H8 + C4H10 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;277.7;2234.0;0.32799999999999996;0.0;0.608;0.0058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
18;Dataset 164;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;C2H6 + C3H8 + C4H10 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;277.7;4523.0;0.32799999999999996;0.0;0.608;0.0058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19;Dataset 164;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;C2H6 + C3H8 + C4H10 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;277.8;7074.0;0.32799999999999996;0.0;0.608;0.0058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
20;Dataset 164;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;C2H6 + C3H8 + C4H10 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;277.8;9715.0;0.32799999999999996;0.0;0.608;0.0058;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
885;Dataset 135;Composition of Guests in Hydrates from Gas Mixture;Kawasaki, T.[Tatsuji], Kikuchi, K.[Kei], Terasaki, D.[Daijiro], Okui, T.[Toshiharu], Miyata, K.[Kazuaki], Hirayama, H.[Hiroaki] and Ihara, M.[Masaru];Fourth International Conference on Gas Hydrates, Yokohama, Japan, May 19-23, pp 424-427;2002;CH4 + C2H6 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Vapor;274.15;3000.0;0.0;0.0;0.0;0.0;0.154;0.12;0.045;0.0;0.0;0.0;0.0;0.0;0.0
886;Dataset 136;Composition of Guests in Hydrates from Gas Mixture;Kawasaki, T.[Tatsuji], Kikuchi, K.[Kei], Terasaki, D.[Daijiro], Okui, T.[Toshiharu], Miyata, K.[Kazuaki], Hirayama, H.[Hiroaki] and Ihara, M.[Masaru];Fourth International Conference on Gas Hydrates, Yokohama, Japan, May 19-23, pp 424-427;2002;CH4 + C2H6 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Vapor;278.15;3000.0;0.0;0.0;0.0;0.0;0.214;0.14800000000000002;0.063;0.0;0.0;0.0;0.0;0.0;0.0
887;Dataset 165;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C2H6 + C3H8 + C4H10 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;281.2;1565.0;0.319;0.0;0.602;0.0039;0.0;0.0;0.0;0.043;0.0;0.0;0.0;0.0;0.0
888;Dataset 165;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C2H6 + C3H8 + C4H10 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;281.2;1620.0;0.319;0.0;0.602;0.0039;0.0;0.0;0.0;0.043;0.0;0.0;0.0;0.0;0.0
889;Dataset 165;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C2H6 + C3H8 + C4H10 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;281.3;2461.0;0.319;0.0;0.602;0.0039;0.0;0.0;0.0;0.043;0.0;0.0;0.0;0.0;0.0
890;Dataset 165;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C2H6 + C3H8 + C4H10 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;281.4;3813.0;0.319;0.0;0.602;0.0039;0.0;0.0;0.0;0.043;0.0;0.0;0.0;0.0;0.0
891;Dataset 165;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C2H6 + C3H8 + C4H10 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;281.7;6102.0;0.319;0.0;0.602;0.0039;0.0;0.0;0.0;0.043;0.0;0.0;0.0;0.0;0.0
892;Dataset 165;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C2H6 + C3H8 + C4H10 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;281.9;8232.0;0.319;0.0;0.602;0.0039;0.0;0.0;0.0;0.043;0.0;0.0;0.0;0.0;0.0
893;Dataset 165;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C2H6 + C3H8 + C4H10 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;282.2;11225.0;0.319;0.0;0.602;0.0039;0.0;0.0;0.0;0.043;0.0;0.0;0.0;0.0;0.0
894;Dataset 166;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C2H6 + C3H8 + C4H10 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;291.7;4799.0;0.304;0.0;0.605;0.0049;0.0;0.0;0.0;0.537;0.0;0.0;0.0;0.0;0.0
895;Dataset 166;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C2H6 + C3H8 + C4H10 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;291.8;5240.0;0.304;0.0;0.605;0.0049;0.0;0.0;0.0;0.537;0.0;0.0;0.0;0.0;0.0
896;Dataset 166;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C2H6 + C3H8 + C4H10 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;292.0;5902.0;0.304;0.0;0.605;0.0049;0.0;0.0;0.0;0.537;0.0;0.0;0.0;0.0;0.0
897;Dataset 166;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C2H6 + C3H8 + C4H10 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;292.5;7212.0;0.304;0.0;0.605;0.0049;0.0;0.0;0.0;0.537;0.0;0.0;0.0;0.0;0.0
898;Dataset 166;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C2H6 + C3H8 + C4H10 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;293.2;9797.0;0.304;0.0;0.605;0.0049;0.0;0.0;0.0;0.537;0.0;0.0;0.0;0.0;0.0
899;Dataset 166;The Measurement and Prediction of Hydrate Formation  in Liquid Hydrocarbon-Water Systems;Ng, H.-J.[Heng-Joo] and Robinson, D. B.[Donald B.];Ind. Eng. Chem. Fundam. 15(4), 293 ( - 297);1976;CH4 + C2H6 + C3H8 + C4H10 + N2 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid;293.9;13624.0;0.304;0.0;0.605;0.0049;0.0;0.0;0.0;0.537;0.0;0.0;0.0;0.0;0.0
931;Dataset 1004;GAS HYDRATES AND THEIR RELATION TO THE OPERATION OF NATURAL-GAS PIPE LINES;Deaton, W. M. and Frost, E. M.;United States Department of the Interior Gas Hydrates and Their Relation to the Operation of Natural-Gas Pipe Lines U18401 8653273;1946;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;273.7;1262.0;0.0;0.0;0.0;0.0;0.019;0.0093;0.0;0.0;0.0021;0.0062;0.0;0.0;0.0
932;Dataset 1004;GAS HYDRATES AND THEIR RELATION TO THE OPERATION OF NATURAL-GAS PIPE LINES;Deaton, W. M. and Frost, E. M.;United States Department of the Interior Gas Hydrates and Their Relation to the Operation of Natural-Gas Pipe Lines U18401 8653273;1946;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;274.8;1427.0;0.0;0.0;0.0;0.0;0.019;0.0093;0.0;0.0;0.0021;0.0062;0.0;0.0;0.0
933;Dataset 1004;GAS HYDRATES AND THEIR RELATION TO THE OPERATION OF NATURAL-GAS PIPE LINES;Deaton, W. M. and Frost, E. M.;United States Department of the Interior Gas Hydrates and Their Relation to the Operation of Natural-Gas Pipe Lines U18401 8653273;1946;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;274.8;1420.0;0.0;0.0;0.0;0.0;0.019;0.0093;0.0;0.0;0.0021;0.0062;0.0;0.0;0.0
934;Dataset 1004;GAS HYDRATES AND THEIR RELATION TO THE OPERATION OF NATURAL-GAS PIPE LINES;Deaton, W. M. and Frost, E. M.;United States Department of the Interior Gas Hydrates and Their Relation to the Operation of Natural-Gas Pipe Lines U18401 8653273;1946;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;277.6;2027.0;0.0;0.0;0.0;0.0;0.019;0.0093;0.0;0.0;0.0021;0.0062;0.0;0.0;0.0
