Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xC2H6;xH2O
Dataset 99;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid;297;4138;0.305;0.000336
Dataset 99;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid;291.97;4138;0.305;0.000265
Dataset 99;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid;286.53;4138;0.305;0.0002
Dataset 99;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid;279.33;4138;0.305;0.000135
Dataset 99;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid;293.15;4138;0.5;0.000278
Dataset 99;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid;283.15;4138;0.5;0.000167
Dataset 99;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid;297.45;4138;0.75;0.000345
Dataset 99;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid;292.65;4138;0.75;0.000271
Dataset 99;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid;297.59;4138;0.895;0.000344
Dataset 99;The water content of ethane, propane and their mixtures in equilibrium with liquid water or hydrates.;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Fluid Phase Equilib. 95, 281-298;1994;C2H6 + C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid;286.59;4138;0.895;0.000199
