Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xCO2
Dataset 693;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C3H8 + CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;273.7;1406.5;0.971
Dataset 693;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C3H8 + CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;273.7;1358.3;0.985
Dataset 693;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C3H8 + CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;275.9;1799.5;0.968
Dataset 693;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C3H8 + CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;275.9;1771.9;0.971
Dataset 693;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C3H8 + CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;275.9;1682.3;0.99
Dataset 693;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C3H8 + CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;278.2;2440.7;0.954
Dataset 693;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C3H8 + CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;278.2;2344.2;0.97
Dataset 693;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C3H8 + CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;278.2;2227;0.987
Dataset 693;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C3H8 + CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;280.4;3109.5;0.954
Dataset 693;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C3H8 + CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;280.4;3033.7;0.965
Dataset 693;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C3H8 + CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;280.4;2909.6;0.987
Dataset 693;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C3H8 + CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;282;3820.7;0.952
Dataset 693;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C3H8 + CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;282;3724.1;0.97
Dataset 693;Hydrates of hydrocarbon gases containing carbon dioxide;Adisasmito, S.[Sanggono] and Sloan, E. D.[E. Dendy];J. Chem. Eng. Data 37, 343-9;1992;C3H8 + CO2 + H2O in Hydrate sI + Aqueous Liquid + Vapor;282;3641.4;0.987
