Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 533;Phase Behaviour and Structural Aspects  of Ternary Clathrate Hydrate Systems : The Role of Additives;Mooijer-van den Heuvel, M. M.;Chemical Engineering Thesis, Delft University of Technology;2004;C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;279.43;590
Dataset 532;Phase Behaviour and Structural Aspects  of Ternary Clathrate Hydrate Systems : The Role of Additives;Mooijer-van den Heuvel, M. M.;Chemical Engineering Thesis, Delft University of Technology;2004;C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;281.45;622
Dataset 533;Phase Behaviour and Structural Aspects  of Ternary Clathrate Hydrate Systems : The Role of Additives;Mooijer-van den Heuvel, M. M.;Chemical Engineering Thesis, Delft University of Technology;2004;C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;283.47;660
Dataset 533;Phase Behaviour and Structural Aspects  of Ternary Clathrate Hydrate Systems : The Role of Additives;Mooijer-van den Heuvel, M. M.;Chemical Engineering Thesis, Delft University of Technology;2004;C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;285.49;700
Dataset 533;Phase Behaviour and Structural Aspects  of Ternary Clathrate Hydrate Systems : The Role of Additives;Mooijer-van den Heuvel, M. M.;Chemical Engineering Thesis, Delft University of Technology;2004;C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;287.45;740
Dataset 533;Phase Behaviour and Structural Aspects  of Ternary Clathrate Hydrate Systems : The Role of Additives;Mooijer-van den Heuvel, M. M.;Chemical Engineering Thesis, Delft University of Technology;2004;C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;289.47;780
Dataset 533;Phase Behaviour and Structural Aspects  of Ternary Clathrate Hydrate Systems : The Role of Additives;Mooijer-van den Heuvel, M. M.;Chemical Engineering Thesis, Delft University of Technology;2004;C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;291.4;820
Dataset 533;Phase Behaviour and Structural Aspects  of Ternary Clathrate Hydrate Systems : The Role of Additives;Mooijer-van den Heuvel, M. M.;Chemical Engineering Thesis, Delft University of Technology;2004;C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;293.44;860
Dataset 533;Phase Behaviour and Structural Aspects  of Ternary Clathrate Hydrate Systems : The Role of Additives;Mooijer-van den Heuvel, M. M.;Chemical Engineering Thesis, Delft University of Technology;2004;C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;295.45;910
Dataset 533;Phase Behaviour and Structural Aspects  of Ternary Clathrate Hydrate Systems : The Role of Additives;Mooijer-van den Heuvel, M. M.;Chemical Engineering Thesis, Delft University of Technology;2004;C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;297.38;950
Dataset 533;Phase Behaviour and Structural Aspects  of Ternary Clathrate Hydrate Systems : The Role of Additives;Mooijer-van den Heuvel, M. M.;Chemical Engineering Thesis, Delft University of Technology;2004;C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;299.48;1010
Dataset 533;Phase Behaviour and Structural Aspects  of Ternary Clathrate Hydrate Systems : The Role of Additives;Mooijer-van den Heuvel, M. M.;Chemical Engineering Thesis, Delft University of Technology;2004;C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;301.41;1060
Dataset 533;Phase Behaviour and Structural Aspects  of Ternary Clathrate Hydrate Systems : The Role of Additives;Mooijer-van den Heuvel, M. M.;Chemical Engineering Thesis, Delft University of Technology;2004;C3H8 + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;303.46;1110
