Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xC3H8
Dataset 65;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;275.33;4590;0.0094
Dataset 65;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;279.55;8160;0.0094
Dataset 65;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;283;13680;0.0094
Dataset 65;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;284.28;18090;0.0094
Dataset 65;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;276.29;3030;0.0251
Dataset 65;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;279.28;4510;0.0251
Dataset 65;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;282.74;7350;0.0251
Dataset 65;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;287.1;13640;0.0251
Dataset 65;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;274.51;1720;0.0618
Dataset 65;EXPERIMENTAL MEASUREMENT AND PREDICTION OF HYDRATE  FORMING CONDITIONS IN THE NITROGEN-PROPANE-WATER  SYSTEM;Ng, H.-J.[Heng-Joo], Petrunia, J. P.[Jonathan P.] and Robinson, D. B.[Donald B.];Fluid Phase Equilib. 1, 283-291;1978;C3H8 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;278.26;2850;0.0618
