Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xC2H6;xCO2;xH2O;xCH4;xC3H8
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;267.04;12080;0.07949;0.13039;0.0000653;0.75022;0.03992
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;267.04;12066;0.07949;0.13039;0.0000611;0.75022;0.03992
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;260.93;12052;0.07949;0.13039;0.0000417;0.75022;0.03992
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;260.93;12052;0.07949;0.13039;0.0000417;0.75022;0.03992
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;249.82;12066;0.07949;0.13039;0.0000177;0.75022;0.03992
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;249.82;12100;0.07949;0.13039;0.0000183;0.75022;0.03992
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;249.82;12073;0.07949;0.13039;0.0000196;0.75022;0.03992
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;243.15;12052;0.07949;0.13039;0.0000105;0.75022;0.03992
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;243.15;12052;0.07949;0.13039;0.0000105;0.75022;0.03992
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;237.21;12087;0.07949;0.13039;0.0000046;0.75022;0.03992
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;237.21;12087;0.07949;0.13039;0.0000044;0.75022;0.03992
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;234.04;12066;0.07949;0.13039;0.0000023;0.75022;0.03992
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;234.04;12066;0.07949;0.13039;0.0000027;0.75022;0.03992
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;267.04;5861;0.07949;0.13039;0.0000864;0.75022;0.03992
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;267.04;5861;0.07949;0.13039;0.0000885;0.75022;0.03992
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;261.21;5840;0.07949;0.13039;0.0000569;0.75022;0.03992
Dataset 839;Research Report;Aoyagi, K., Song, K. Y.[Kyoo Y.], Kobayashi, R.[Riki], Sloan, E. D.[E. Dendy] and Dharmawardhana, P. B.;William Marsh Rice University Research Report RR-45, Houston, TX;1980;CH4 + C2H6 + C3H8 + CO2 + H2O in Hydrate + Vapor;261.21;5840;0.07949;0.13039;0.0000569;0.75022;0.03992
