Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xC2H6;xCO2;xCH4;xN2
Dataset 563;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;279.1;2156;0.0398;0;0.9502;0
Dataset 563;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;284.3;3989;0.0398;0;0.9502;0
Dataset 563;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;288.56;6955;0.0398;0;0.9502;0
Dataset 563;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;291.6;10940;0.0398;0;0.9502;0
Dataset 563;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;294.04;17364;0.0398;0;0.9502;0
Dataset 563;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;295.76;24145;0.0398;0;0.9502;0
Dataset 563;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;279.19;1693;0;0.0809;0.894;0.0002
Dataset 563;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;285.09;3469;0;0.0809;0.894;0.0002
Dataset 563;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;290.16;6912;0;0.0809;0.894;0.0002
Dataset 563;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;292.56;10470;0;0.0809;0.894;0.0002
Dataset 563;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;294.62;16947;0;0.0809;0.894;0.0002
Dataset 563;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;296.07;23565;0;0.0809;0.894;0.0002
Dataset 563;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;279.01;2964;0.0513;0.0525;0.895;0.0002
Dataset 563;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;283.54;5003;0.0513;0.0525;0.895;0.0002
Dataset 563;Experimental determination of hydrate equilibrium conditions for pure gases, binary and ternary mixtures and natural gases ;Nixdorf, J. and Oellrich, L. R.;Fluid Phase Equilib. 139, 325-333;1997;CH4 + C2H6 + C3H8 + CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;287.08;7735;0.0513;0.0525;0.895;0.0002
