Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xC2H6
Dataset 1027;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;CH4 + C2H6 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Nonpolar Liquid + Vapor;278.1;900;0.168
Dataset 1027;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;CH4 + C2H6 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Nonpolar Liquid + Vapor;277.8;1080;0.28
Dataset 1027;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;CH4 + C2H6 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Nonpolar Liquid + Vapor;282.8;1030;0
Dataset 1027;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;CH4 + C2H6 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Nonpolar Liquid + Vapor;281.7;1240;0.189
Dataset 1027;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;CH4 + C2H6 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Nonpolar Liquid + Vapor;280.1;1580;0.314
Dataset 1027;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;CH4 + C2H6 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Nonpolar Liquid + Vapor;284.9;1500;0.082
Dataset 1027;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;CH4 + C2H6 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Nonpolar Liquid + Vapor;284.2;1610;0.181
Dataset 1027;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;CH4 + C2H6 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Nonpolar Liquid + Vapor;283.5;1680;0.231
Dataset 1027;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;CH4 + C2H6 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Nonpolar Liquid + Vapor;287.4;2120;0.054
Dataset 1027;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;CH4 + C2H6 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Nonpolar Liquid + Vapor;286.9;2170;0.148
Dataset 1027;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;CH4 + C2H6 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Nonpolar Liquid + Vapor;285.7;2210;0.212
Dataset 1027;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;CH4 + C2H6 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Nonpolar Liquid + Vapor;284.9;2280;0.365
