Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xC2H6;xCH4;xC3H8
Dataset 739;Experimental Thermodynamic Parameters for the Prediction of  Natural Gas Hydrate Dissociation Conditions;Dharmawardhana, P. B., Parrish, W. R.[William R.] and Sloan, E. D.[E. Dendy];Ind. Eng. Chem. Fundam. 19, 410;1980;CH4 + C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;279.76;1248;0.705;0.174;0.121
Dataset 739;Experimental Thermodynamic Parameters for the Prediction of  Natural Gas Hydrate Dissociation Conditions;Dharmawardhana, P. B., Parrish, W. R.[William R.] and Sloan, E. D.[E. Dendy];Ind. Eng. Chem. Fundam. 19, 410;1980;CH4 + C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;280.48;1393;0.705;0.174;0.121
Dataset 739;Experimental Thermodynamic Parameters for the Prediction of  Natural Gas Hydrate Dissociation Conditions;Dharmawardhana, P. B., Parrish, W. R.[William R.] and Sloan, E. D.[E. Dendy];Ind. Eng. Chem. Fundam. 19, 410;1980;CH4 + C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;281.43;1586;0.705;0.174;0.121
Dataset 739;Experimental Thermodynamic Parameters for the Prediction of  Natural Gas Hydrate Dissociation Conditions;Dharmawardhana, P. B., Parrish, W. R.[William R.] and Sloan, E. D.[E. Dendy];Ind. Eng. Chem. Fundam. 19, 410;1980;CH4 + C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;282.21;1779;0.705;0.174;0.121
Dataset 739;Experimental Thermodynamic Parameters for the Prediction of  Natural Gas Hydrate Dissociation Conditions;Dharmawardhana, P. B., Parrish, W. R.[William R.] and Sloan, E. D.[E. Dendy];Ind. Eng. Chem. Fundam. 19, 410;1980;CH4 + C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;283.98;2165;0.705;0.174;0.121
Dataset 739;Experimental Thermodynamic Parameters for the Prediction of  Natural Gas Hydrate Dissociation Conditions;Dharmawardhana, P. B., Parrish, W. R.[William R.] and Sloan, E. D.[E. Dendy];Ind. Eng. Chem. Fundam. 19, 410;1980;CH4 + C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;281.37;1724;0.542;0.364;0.094
Dataset 739;Experimental Thermodynamic Parameters for the Prediction of  Natural Gas Hydrate Dissociation Conditions;Dharmawardhana, P. B., Parrish, W. R.[William R.] and Sloan, E. D.[E. Dendy];Ind. Eng. Chem. Fundam. 19, 410;1980;CH4 + C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;282.48;2006;0.542;0.364;0.094
Dataset 739;Experimental Thermodynamic Parameters for the Prediction of  Natural Gas Hydrate Dissociation Conditions;Dharmawardhana, P. B., Parrish, W. R.[William R.] and Sloan, E. D.[E. Dendy];Ind. Eng. Chem. Fundam. 19, 410;1980;CH4 + C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;283.76;2275;0.542;0.364;0.094
Dataset 739;Experimental Thermodynamic Parameters for the Prediction of  Natural Gas Hydrate Dissociation Conditions;Dharmawardhana, P. B., Parrish, W. R.[William R.] and Sloan, E. D.[E. Dendy];Ind. Eng. Chem. Fundam. 19, 410;1980;CH4 + C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;275.76;917;0.457;0.454;0.089
Dataset 739;Experimental Thermodynamic Parameters for the Prediction of  Natural Gas Hydrate Dissociation Conditions;Dharmawardhana, P. B., Parrish, W. R.[William R.] and Sloan, E. D.[E. Dendy];Ind. Eng. Chem. Fundam. 19, 410;1980;CH4 + C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;281.76;1682;0.457;0.454;0.089
Dataset 739;Experimental Thermodynamic Parameters for the Prediction of  Natural Gas Hydrate Dissociation Conditions;Dharmawardhana, P. B., Parrish, W. R.[William R.] and Sloan, E. D.[E. Dendy];Ind. Eng. Chem. Fundam. 19, 410;1980;CH4 + C2H6 + C3H8 + H2O in Hydrate + Aqueous Liquid + Vapor;282.04;1882;0.457;0.454;0.089
