Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xCH4;xC3H8
Dataset 334;Hydrate Euilibria for Binary and Ternary Mixtures of Methane, Propane, Isobutane, and n-Butane: Effect of Salinity;Paranjpe, S. G., Patil, S. L., Kamath, V. A. and Godbole, S. P.;Spe Reservoir Engineering, 446-454;1989;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;276.15;220.6;0.261;0
Dataset 334;Hydrate Euilibria for Binary and Ternary Mixtures of Methane, Propane, Isobutane, and n-Butane: Effect of Salinity;Paranjpe, S. G., Patil, S. L., Kamath, V. A. and Godbole, S. P.;Spe Reservoir Engineering, 446-454;1989;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;276.15;248.2;0.155;0.106
Dataset 334;Hydrate Euilibria for Binary and Ternary Mixtures of Methane, Propane, Isobutane, and n-Butane: Effect of Salinity;Paranjpe, S. G., Patil, S. L., Kamath, V. A. and Godbole, S. P.;Spe Reservoir Engineering, 446-454;1989;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;276.15;262;0.123;0.194
Dataset 334;Hydrate Euilibria for Binary and Ternary Mixtures of Methane, Propane, Isobutane, and n-Butane: Effect of Salinity;Paranjpe, S. G., Patil, S. L., Kamath, V. A. and Godbole, S. P.;Spe Reservoir Engineering, 446-454;1989;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;276.15;303.4;0;0.369
Dataset 334;Hydrate Euilibria for Binary and Ternary Mixtures of Methane, Propane, Isobutane, and n-Butane: Effect of Salinity;Paranjpe, S. G., Patil, S. L., Kamath, V. A. and Godbole, S. P.;Spe Reservoir Engineering, 446-454;1989;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;279.15;398;0.511;0
Dataset 334;Hydrate Euilibria for Binary and Ternary Mixtures of Methane, Propane, Isobutane, and n-Butane: Effect of Salinity;Paranjpe, S. G., Patil, S. L., Kamath, V. A. and Godbole, S. P.;Spe Reservoir Engineering, 446-454;1989;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;279.15;458.5;0.201;0.085
Dataset 334;Hydrate Euilibria for Binary and Ternary Mixtures of Methane, Propane, Isobutane, and n-Butane: Effect of Salinity;Paranjpe, S. G., Patil, S. L., Kamath, V. A. and Godbole, S. P.;Spe Reservoir Engineering, 446-454;1989;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;279.15;495;0.092;0.279
Dataset 334;Hydrate Euilibria for Binary and Ternary Mixtures of Methane, Propane, Isobutane, and n-Butane: Effect of Salinity;Paranjpe, S. G., Patil, S. L., Kamath, V. A. and Godbole, S. P.;Spe Reservoir Engineering, 446-454;1989;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;279.15;543.3;0.128;0.542
Dataset 334;Hydrate Euilibria for Binary and Ternary Mixtures of Methane, Propane, Isobutane, and n-Butane: Effect of Salinity;Paranjpe, S. G., Patil, S. L., Kamath, V. A. and Godbole, S. P.;Spe Reservoir Engineering, 446-454;1989;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;279.15;576.4;0.128;0.737
Dataset 334;Hydrate Euilibria for Binary and Ternary Mixtures of Methane, Propane, Isobutane, and n-Butane: Effect of Salinity;Paranjpe, S. G., Patil, S. L., Kamath, V. A. and Godbole, S. P.;Spe Reservoir Engineering, 446-454;1989;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;279.15;606.7;0.102;0.851
Dataset 334;Hydrate Euilibria for Binary and Ternary Mixtures of Methane, Propane, Isobutane, and n-Butane: Effect of Salinity;Paranjpe, S. G., Patil, S. L., Kamath, V. A. and Godbole, S. P.;Spe Reservoir Engineering, 446-454;1989;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;279.15;674;0.01;0.99
Dataset 334;Hydrate Euilibria for Binary and Ternary Mixtures of Methane, Propane, Isobutane, and n-Butane: Effect of Salinity;Paranjpe, S. G., Patil, S. L., Kamath, V. A. and Godbole, S. P.;Spe Reservoir Engineering, 446-454;1989;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;281.15;585.1;0.62;0
Dataset 334;Hydrate Euilibria for Binary and Ternary Mixtures of Methane, Propane, Isobutane, and n-Butane: Effect of Salinity;Paranjpe, S. G., Patil, S. L., Kamath, V. A. and Godbole, S. P.;Spe Reservoir Engineering, 446-454;1989;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;281.15;621.9;0.242;0.071
Dataset 334;Hydrate Euilibria for Binary and Ternary Mixtures of Methane, Propane, Isobutane, and n-Butane: Effect of Salinity;Paranjpe, S. G., Patil, S. L., Kamath, V. A. and Godbole, S. P.;Spe Reservoir Engineering, 446-454;1989;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;281.15;668.8;0.187;0.393
Dataset 334;Hydrate Euilibria for Binary and Ternary Mixtures of Methane, Propane, Isobutane, and n-Butane: Effect of Salinity;Paranjpe, S. G., Patil, S. L., Kamath, V. A. and Godbole, S. P.;Spe Reservoir Engineering, 446-454;1989;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;281.15;723.9;0.15;0.569
Dataset 334;Hydrate Euilibria for Binary and Ternary Mixtures of Methane, Propane, Isobutane, and n-Butane: Effect of Salinity;Paranjpe, S. G., Patil, S. L., Kamath, V. A. and Godbole, S. P.;Spe Reservoir Engineering, 446-454;1989;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;281.15;773.6;0.126;0.814
Dataset 334;Hydrate Euilibria for Binary and Ternary Mixtures of Methane, Propane, Isobutane, and n-Butane: Effect of Salinity;Paranjpe, S. G., Patil, S. L., Kamath, V. A. and Godbole, S. P.;Spe Reservoir Engineering, 446-454;1989;CH4 + C3H8 + C4H10 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;281.15;832;0.03;0.97
