Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 366;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;279.62;662
Dataset 366;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;280.39;739
Dataset 366;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;282.22;949
Dataset 366;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;284.92;1342
Dataset 366;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;287.96;2032
Dataset 366;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;290.18;2708
Dataset 366;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;294.18;4962
Dataset 366;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;296.95;8102
Dataset 366;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;297.58;9161
Dataset 366;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;297.65;9375
Dataset 366;Gas hydrates from liquid hydrocarbons methane-propane-water system;Verma, Y. K., Hand, J. H. and Katz, D. L.[Donald L.];GVC/AIChE Joint Meeting, Munich, 1975, pp 10;1974;CH4 + C3H8 + H2O in Hydrate + Aqueous Liquid + Nonpolar Liquid + Vapor;297.67;9561
