Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xH2O;xC3H8
Dataset 799;Measurement and Interpretation of the Water Content of a  Methane-Propane Mixture in the Gaseous State in Equilibrium with  Hydrate;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Ind. Eng. Chem. Fundam. 21, 391 ( - 395);1982;CH4 + C3H8 + H2O in Hydrate + Vapor;277.15;2068;0.00042728;0.0531
Dataset 799;Measurement and Interpretation of the Water Content of a  Methane-Propane Mixture in the Gaseous State in Equilibrium with  Hydrate;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Ind. Eng. Chem. Fundam. 21, 391 ( - 395);1982;CH4 + C3H8 + H2O in Hydrate + Vapor;266.48;2068;0.00016199;0.0531
Dataset 799;Measurement and Interpretation of the Water Content of a  Methane-Propane Mixture in the Gaseous State in Equilibrium with  Hydrate;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Ind. Eng. Chem. Fundam. 21, 391 ( - 395);1982;CH4 + C3H8 + H2O in Hydrate + Vapor;260.04;2068;0.0000852;0.0531
Dataset 799;Measurement and Interpretation of the Water Content of a  Methane-Propane Mixture in the Gaseous State in Equilibrium with  Hydrate;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Ind. Eng. Chem. Fundam. 21, 391 ( - 395);1982;CH4 + C3H8 + H2O in Hydrate + Vapor;251.71;2068;0.00004154;0.0531
Dataset 799;Measurement and Interpretation of the Water Content of a  Methane-Propane Mixture in the Gaseous State in Equilibrium with  Hydrate;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Ind. Eng. Chem. Fundam. 21, 391 ( - 395);1982;CH4 + C3H8 + H2O in Hydrate + Vapor;246.21;2068;0.00002428;0.0531
Dataset 799;Measurement and Interpretation of the Water Content of a  Methane-Propane Mixture in the Gaseous State in Equilibrium with  Hydrate;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Ind. Eng. Chem. Fundam. 21, 391 ( - 395);1982;CH4 + C3H8 + H2O in Hydrate + Vapor;234.21;2068;0.00000686;0.0531
Dataset 799;Measurement and Interpretation of the Water Content of a  Methane-Propane Mixture in the Gaseous State in Equilibrium with  Hydrate;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Ind. Eng. Chem. Fundam. 21, 391 ( - 395);1982;CH4 + C3H8 + H2O in Hydrate + Vapor;274.65;3446;0.00018789;0.0531
Dataset 799;Measurement and Interpretation of the Water Content of a  Methane-Propane Mixture in the Gaseous State in Equilibrium with  Hydrate;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Ind. Eng. Chem. Fundam. 21, 391 ( - 395);1982;CH4 + C3H8 + H2O in Hydrate + Vapor;263.15;3446;0.00007876;0.0531
Dataset 799;Measurement and Interpretation of the Water Content of a  Methane-Propane Mixture in the Gaseous State in Equilibrium with  Hydrate;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Ind. Eng. Chem. Fundam. 21, 391 ( - 395);1982;CH4 + C3H8 + H2O in Hydrate + Vapor;252.04;3446;0.0000275;0.0531
Dataset 799;Measurement and Interpretation of the Water Content of a  Methane-Propane Mixture in the Gaseous State in Equilibrium with  Hydrate;Song, K. Y.[Kyoo Y.] and Kobayashi, R.[Riki];Ind. Eng. Chem. Fundam. 21, 391 ( - 395);1982;CH4 + C3H8 + H2O in Hydrate + Vapor;246.21;3446;0.00001385;0.0531
