Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xCH4
Dataset 874;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;278.15;1306;0.956
Dataset 874;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;278.15;1144;0.947
Dataset 874;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;278.15;848;0.894
Dataset 874;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;278.15;630;0.768
Dataset 874;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;278.15;496;0.53
Dataset 874;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;278.15;489;0.51
Dataset 874;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;278.15;479;0.502
Dataset 874;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;278.15;475;0.468
Dataset 874;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;278.15;479;0.412
Dataset 874;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;278.15;458;0.394
Dataset 874;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;278.15;458;0.39
Dataset 874;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;278.15;479;0.03
Dataset 874;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;278.15;480;0.026
Dataset 874;Solid-Vapor Azeotropes in Hydrate-Forming Systems;Thakore, J.[Jashwantsinh] and Holder, G. D.[Gerald D.];I & EC Research 26, 462-469;1987;CH4 + C3H8 + H2O in Hydrate sII + Aqueous Liquid + Vapor;278.15;509;0
