Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xC4H10
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;275.2;2080;0.0023
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;279.7;3440;0.0023
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;284.6;6010;0.0027
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;285.4;6190;0.0036
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;288;9690;0.0037
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;276.2;1810;0.004
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;285.3;5590;0.0043
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;282;3500;0.00456
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;280.9;3150;0.0046
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;286.2;5480;0.0054
Dataset 841;Three- and four-phase hydrate forming conditions in methane + isobutane + water;Wu, B. -J.[Bing-Jing], Robinson, D. B.[Donald B.] and Ng, H.-J.[Heng-Joo];J. Chem. Thermodyn. 8, 461-9;1976;CH4 + C4H10 + H2O in Hydrate sII + Aqueous Liquid + Vapor;275.4;1270;0.0082
