Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xCO2
Dataset 10;Methane Exploitation by carbon dioxide from gas hydrates--phase equilibria for co2-ch4 mixed hydrate system;Ohgaki, K.[Kazunari], Takano, K.[Kiyoteru], Sangawa, H.[Hiroyuki], Matsubara, T.[Takuya] and Nakano, S.[Shinya];J. Chem. Eng. Jpn. 29, 478-483;1996;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.3;3040;1
Dataset 10;Methane Exploitation by carbon dioxide from gas hydrates--phase equilibria for co2-ch4 mixed hydrate system;Ohgaki, K.[Kazunari], Takano, K.[Kiyoteru], Sangawa, H.[Hiroyuki], Matsubara, T.[Takuya] and Nakano, S.[Shinya];J. Chem. Eng. Jpn. 29, 478-483;1996;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.3;3240;0.683
Dataset 10;Methane Exploitation by carbon dioxide from gas hydrates--phase equilibria for co2-ch4 mixed hydrate system;Ohgaki, K.[Kazunari], Takano, K.[Kiyoteru], Sangawa, H.[Hiroyuki], Matsubara, T.[Takuya] and Nakano, S.[Shinya];J. Chem. Eng. Jpn. 29, 478-483;1996;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.3;3380;0.585
Dataset 10;Methane Exploitation by carbon dioxide from gas hydrates--phase equilibria for co2-ch4 mixed hydrate system;Ohgaki, K.[Kazunari], Takano, K.[Kiyoteru], Sangawa, H.[Hiroyuki], Matsubara, T.[Takuya] and Nakano, S.[Shinya];J. Chem. Eng. Jpn. 29, 478-483;1996;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.3;3600;0.488
Dataset 10;Methane Exploitation by carbon dioxide from gas hydrates--phase equilibria for co2-ch4 mixed hydrate system;Ohgaki, K.[Kazunari], Takano, K.[Kiyoteru], Sangawa, H.[Hiroyuki], Matsubara, T.[Takuya] and Nakano, S.[Shinya];J. Chem. Eng. Jpn. 29, 478-483;1996;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.3;3640;0.45
Dataset 10;Methane Exploitation by carbon dioxide from gas hydrates--phase equilibria for co2-ch4 mixed hydrate system;Ohgaki, K.[Kazunari], Takano, K.[Kiyoteru], Sangawa, H.[Hiroyuki], Matsubara, T.[Takuya] and Nakano, S.[Shinya];J. Chem. Eng. Jpn. 29, 478-483;1996;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.3;3670;0.448
Dataset 10;Methane Exploitation by carbon dioxide from gas hydrates--phase equilibria for co2-ch4 mixed hydrate system;Ohgaki, K.[Kazunari], Takano, K.[Kiyoteru], Sangawa, H.[Hiroyuki], Matsubara, T.[Takuya] and Nakano, S.[Shinya];J. Chem. Eng. Jpn. 29, 478-483;1996;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.3;3710;0.429
Dataset 10;Methane Exploitation by carbon dioxide from gas hydrates--phase equilibria for co2-ch4 mixed hydrate system;Ohgaki, K.[Kazunari], Takano, K.[Kiyoteru], Sangawa, H.[Hiroyuki], Matsubara, T.[Takuya] and Nakano, S.[Shinya];J. Chem. Eng. Jpn. 29, 478-483;1996;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.3;3770;0.384
Dataset 10;Methane Exploitation by carbon dioxide from gas hydrates--phase equilibria for co2-ch4 mixed hydrate system;Ohgaki, K.[Kazunari], Takano, K.[Kiyoteru], Sangawa, H.[Hiroyuki], Matsubara, T.[Takuya] and Nakano, S.[Shinya];J. Chem. Eng. Jpn. 29, 478-483;1996;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.3;3860;0.357
Dataset 10;Methane Exploitation by carbon dioxide from gas hydrates--phase equilibria for co2-ch4 mixed hydrate system;Ohgaki, K.[Kazunari], Takano, K.[Kiyoteru], Sangawa, H.[Hiroyuki], Matsubara, T.[Takuya] and Nakano, S.[Shinya];J. Chem. Eng. Jpn. 29, 478-483;1996;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.3;3980;0.302
Dataset 10;Methane Exploitation by carbon dioxide from gas hydrates--phase equilibria for co2-ch4 mixed hydrate system;Ohgaki, K.[Kazunari], Takano, K.[Kiyoteru], Sangawa, H.[Hiroyuki], Matsubara, T.[Takuya] and Nakano, S.[Shinya];J. Chem. Eng. Jpn. 29, 478-483;1996;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.3;4000;0.31
Dataset 10;Methane Exploitation by carbon dioxide from gas hydrates--phase equilibria for co2-ch4 mixed hydrate system;Ohgaki, K.[Kazunari], Takano, K.[Kiyoteru], Sangawa, H.[Hiroyuki], Matsubara, T.[Takuya] and Nakano, S.[Shinya];J. Chem. Eng. Jpn. 29, 478-483;1996;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.3;4010;0.311
