Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xCH4
Dataset 548;Gas hydrate phase equilibrium in the system methane carbon dioxide neohexane and water;Servio, P. [Phillip], Lagers, F.[Fritz], Peters, C. J.[Cor J.] and Englezos, P.[Peter];Fluid Phase Equilib. 158-160, 795-800;1999;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;273.5;1780;0.4653
Dataset 548;Gas hydrate phase equilibrium in the system methane carbon dioxide neohexane and water;Servio, P. [Phillip], Lagers, F.[Fritz], Peters, C. J.[Cor J.] and Englezos, P.[Peter];Fluid Phase Equilib. 158-160, 795-800;1999;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;274.2;1830;0.466
Dataset 548;Gas hydrate phase equilibrium in the system methane carbon dioxide neohexane and water;Servio, P. [Phillip], Lagers, F.[Fritz], Peters, C. J.[Cor J.] and Englezos, P.[Peter];Fluid Phase Equilib. 158-160, 795-800;1999;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;275.2;2050;0.4697
Dataset 548;Gas hydrate phase equilibrium in the system methane carbon dioxide neohexane and water;Servio, P. [Phillip], Lagers, F.[Fritz], Peters, C. J.[Cor J.] and Englezos, P.[Peter];Fluid Phase Equilib. 158-160, 795-800;1999;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;275.6;2120;0.4701
Dataset 548;Gas hydrate phase equilibrium in the system methane carbon dioxide neohexane and water;Servio, P. [Phillip], Lagers, F.[Fritz], Peters, C. J.[Cor J.] and Englezos, P.[Peter];Fluid Phase Equilib. 158-160, 795-800;1999;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;275.7;2200;0.4729
Dataset 548;Gas hydrate phase equilibrium in the system methane carbon dioxide neohexane and water;Servio, P. [Phillip], Lagers, F.[Fritz], Peters, C. J.[Cor J.] and Englezos, P.[Peter];Fluid Phase Equilib. 158-160, 795-800;1999;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;276.8;2400;0.4801
Dataset 548;Gas hydrate phase equilibrium in the system methane carbon dioxide neohexane and water;Servio, P. [Phillip], Lagers, F.[Fritz], Peters, C. J.[Cor J.] and Englezos, P.[Peter];Fluid Phase Equilib. 158-160, 795-800;1999;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;278.4;2825;0.4861
Dataset 548;Gas hydrate phase equilibrium in the system methane carbon dioxide neohexane and water;Servio, P. [Phillip], Lagers, F.[Fritz], Peters, C. J.[Cor J.] and Englezos, P.[Peter];Fluid Phase Equilib. 158-160, 795-800;1999;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;278.7;2851;0.496
Dataset 548;Gas hydrate phase equilibrium in the system methane carbon dioxide neohexane and water;Servio, P. [Phillip], Lagers, F.[Fritz], Peters, C. J.[Cor J.] and Englezos, P.[Peter];Fluid Phase Equilib. 158-160, 795-800;1999;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;279.5;3301;0.5002
Dataset 548;Gas hydrate phase equilibrium in the system methane carbon dioxide neohexane and water;Servio, P. [Phillip], Lagers, F.[Fritz], Peters, C. J.[Cor J.] and Englezos, P.[Peter];Fluid Phase Equilib. 158-160, 795-800;1999;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;280.1;3370;0.504
Dataset 548;Gas hydrate phase equilibrium in the system methane carbon dioxide neohexane and water;Servio, P. [Phillip], Lagers, F.[Fritz], Peters, C. J.[Cor J.] and Englezos, P.[Peter];Fluid Phase Equilib. 158-160, 795-800;1999;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;281.8;4410;0.5042
Dataset 548;Gas hydrate phase equilibrium in the system methane carbon dioxide neohexane and water;Servio, P. [Phillip], Lagers, F.[Fritz], Peters, C. J.[Cor J.] and Englezos, P.[Peter];Fluid Phase Equilib. 158-160, 795-800;1999;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;283;5001;0.5058
Dataset 548;Gas hydrate phase equilibrium in the system methane carbon dioxide neohexane and water;Servio, P. [Phillip], Lagers, F.[Fritz], Peters, C. J.[Cor J.] and Englezos, P.[Peter];Fluid Phase Equilib. 158-160, 795-800;1999;CH4 + CO2 + H2O in Hydrate + Aqueous Liquid + Vapor;283.1;5070;0.5162
