Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xCO2;xCO2
Dataset 972;Hydrate Phase Equilibria of the Carbon Dioxide, Methane, and  Water System;Seo, Y.-T., Lee, H.[Huen] and Yoon, J.-H.[Ji-Ho];J. Chem. Eng. Data 46, 381-384;2001;CH4 + CO2 + H2O in Hydrate + Vapor;273.06;2000;0.9151;0.2844
Dataset 972;Hydrate Phase Equilibria of the Carbon Dioxide, Methane, and  Water System;Seo, Y.-T., Lee, H.[Huen] and Yoon, J.-H.[Ji-Ho];J. Chem. Eng. Data 46, 381-384;2001;CH4 + CO2 + H2O in Hydrate + Vapor;274.06;2000;0.9363;0.4025
Dataset 972;Hydrate Phase Equilibria of the Carbon Dioxide, Methane, and  Water System;Seo, Y.-T., Lee, H.[Huen] and Yoon, J.-H.[Ji-Ho];J. Chem. Eng. Data 46, 381-384;2001;CH4 + CO2 + H2O in Hydrate + Vapor;275.36;2000;0.9825;0.6076
Dataset 972;Hydrate Phase Equilibria of the Carbon Dioxide, Methane, and  Water System;Seo, Y.-T., Lee, H.[Huen] and Yoon, J.-H.[Ji-Ho];J. Chem. Eng. Data 46, 381-384;2001;CH4 + CO2 + H2O in Hydrate + Vapor;276.26;2000;0.9965;0.7944
Dataset 972;Hydrate Phase Equilibria of the Carbon Dioxide, Methane, and  Water System;Seo, Y.-T., Lee, H.[Huen] and Yoon, J.-H.[Ji-Ho];J. Chem. Eng. Data 46, 381-384;2001;CH4 + CO2 + H2O in Hydrate + Vapor;273.76;2600;0.6618;0.1293
Dataset 972;Hydrate Phase Equilibria of the Carbon Dioxide, Methane, and  Water System;Seo, Y.-T., Lee, H.[Huen] and Yoon, J.-H.[Ji-Ho];J. Chem. Eng. Data 46, 381-384;2001;CH4 + CO2 + H2O in Hydrate + Vapor;274.86;2600;0.8468;0.2344
Dataset 972;Hydrate Phase Equilibria of the Carbon Dioxide, Methane, and  Water System;Seo, Y.-T., Lee, H.[Huen] and Yoon, J.-H.[Ji-Ho];J. Chem. Eng. Data 46, 381-384;2001;CH4 + CO2 + H2O in Hydrate + Vapor;276.26;2600;0.9272;0.4146
Dataset 972;Hydrate Phase Equilibria of the Carbon Dioxide, Methane, and  Water System;Seo, Y.-T., Lee, H.[Huen] and Yoon, J.-H.[Ji-Ho];J. Chem. Eng. Data 46, 381-384;2001;CH4 + CO2 + H2O in Hydrate + Vapor;277.46;2600;0.9808;0.6411
Dataset 972;Hydrate Phase Equilibria of the Carbon Dioxide, Methane, and  Water System;Seo, Y.-T., Lee, H.[Huen] and Yoon, J.-H.[Ji-Ho];J. Chem. Eng. Data 46, 381-384;2001;CH4 + CO2 + H2O in Hydrate + Vapor;278.06;2600;0.9935;0.8339
Dataset 972;Hydrate Phase Equilibria of the Carbon Dioxide, Methane, and  Water System;Seo, Y.-T., Lee, H.[Huen] and Yoon, J.-H.[Ji-Ho];J. Chem. Eng. Data 46, 381-384;2001;CH4 + CO2 + H2O in Hydrate + Vapor;276.56;3500;0.6472;0.1325
Dataset 972;Hydrate Phase Equilibria of the Carbon Dioxide, Methane, and  Water System;Seo, Y.-T., Lee, H.[Huen] and Yoon, J.-H.[Ji-Ho];J. Chem. Eng. Data 46, 381-384;2001;CH4 + CO2 + H2O in Hydrate + Vapor;277.56;3500;0.7334;0.2523
Dataset 972;Hydrate Phase Equilibria of the Carbon Dioxide, Methane, and  Water System;Seo, Y.-T., Lee, H.[Huen] and Yoon, J.-H.[Ji-Ho];J. Chem. Eng. Data 46, 381-384;2001;CH4 + CO2 + H2O in Hydrate + Vapor;278.96;3500;0.8899;0.4191
Dataset 972;Hydrate Phase Equilibria of the Carbon Dioxide, Methane, and  Water System;Seo, Y.-T., Lee, H.[Huen] and Yoon, J.-H.[Ji-Ho];J. Chem. Eng. Data 46, 381-384;2001;CH4 + CO2 + H2O in Hydrate + Vapor;279.86;3500;0.9523;0.6113
Dataset 972;Hydrate Phase Equilibria of the Carbon Dioxide, Methane, and  Water System;Seo, Y.-T., Lee, H.[Huen] and Yoon, J.-H.[Ji-Ho];J. Chem. Eng. Data 46, 381-384;2001;CH4 + CO2 + H2O in Hydrate + Vapor;280.46;3500;0.993;0.8344
