Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 209;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;285.7;9618
Dataset 209;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;286.3;10308
Dataset 209;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;286.1;10101
Dataset 209;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;285.7;9618
Dataset 209;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;289;13962
Dataset 209;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;292.1;21132
Dataset 209;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;295.9;34750
Dataset 209;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;298.7;48677
Dataset 209;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;300.9;62398
Dataset 209;Natural Gas Hydrates at Pressures to 10,000 psia;McLeod, H. O. J.[Harry O. Jr.] and Campbell, J. M.;J. Petl Tech 222, 590-594;1961;CH4 + H2O in Hydrate + Aqueous Liquid + Vapor;301.6;68086
