Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 672;FORMATION OF CO2 HYDRATE IN PURE AND SEA WATERS     ;Ohgaki, K.[Kazunari], Makihara, Y.[Yoshihiro] and Takano, K.[Kiyoteru];J. Chem. Eng. Jpn. 26(5), 558-564;1993;CO2 + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;283.07;4485
Dataset 672;FORMATION OF CO2 HYDRATE IN PURE AND SEA WATERS     ;Ohgaki, K.[Kazunari], Makihara, Y.[Yoshihiro] and Takano, K.[Kiyoteru];J. Chem. Eng. Jpn. 26(5), 558-564;1993;CO2 + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;283.15;4495
Dataset 672;FORMATION OF CO2 HYDRATE IN PURE AND SEA WATERS     ;Ohgaki, K.[Kazunari], Makihara, Y.[Yoshihiro] and Takano, K.[Kiyoteru];J. Chem. Eng. Jpn. 26(5), 558-564;1993;CO2 + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;283.46;4524
Dataset 672;FORMATION OF CO2 HYDRATE IN PURE AND SEA WATERS     ;Ohgaki, K.[Kazunari], Makihara, Y.[Yoshihiro] and Takano, K.[Kiyoteru];J. Chem. Eng. Jpn. 26(5), 558-564;1993;CO2 + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;283.95;4578
Dataset 672;FORMATION OF CO2 HYDRATE IN PURE AND SEA WATERS     ;Ohgaki, K.[Kazunari], Makihara, Y.[Yoshihiro] and Takano, K.[Kiyoteru];J. Chem. Eng. Jpn. 26(5), 558-564;1993;CO2 + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;284.47;4636
Dataset 672;FORMATION OF CO2 HYDRATE IN PURE AND SEA WATERS     ;Ohgaki, K.[Kazunari], Makihara, Y.[Yoshihiro] and Takano, K.[Kiyoteru];J. Chem. Eng. Jpn. 26(5), 558-564;1993;CO2 + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;285.43;4748
Dataset 672;FORMATION OF CO2 HYDRATE IN PURE AND SEA WATERS     ;Ohgaki, K.[Kazunari], Makihara, Y.[Yoshihiro] and Takano, K.[Kiyoteru];J. Chem. Eng. Jpn. 26(5), 558-564;1993;CO2 + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;286.38;4860
Dataset 672;FORMATION OF CO2 HYDRATE IN PURE AND SEA WATERS     ;Ohgaki, K.[Kazunari], Makihara, Y.[Yoshihiro] and Takano, K.[Kiyoteru];J. Chem. Eng. Jpn. 26(5), 558-564;1993;CO2 + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;287.39;4977
Dataset 672;FORMATION OF CO2 HYDRATE IN PURE AND SEA WATERS     ;Ohgaki, K.[Kazunari], Makihara, Y.[Yoshihiro] and Takano, K.[Kiyoteru];J. Chem. Eng. Jpn. 26(5), 558-564;1993;CO2 + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;288.4;5089
Dataset 672;FORMATION OF CO2 HYDRATE IN PURE AND SEA WATERS     ;Ohgaki, K.[Kazunari], Makihara, Y.[Yoshihiro] and Takano, K.[Kiyoteru];J. Chem. Eng. Jpn. 26(5), 558-564;1993;CO2 + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;289.37;5216
