Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa);xCO2
Dataset 359;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;274;1394;1
Dataset 359;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;274;1769;0.8205
Dataset 359;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;274;2354;0.5999
Dataset 359;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;274;2835;0.5048
Dataset 359;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;274;3560;0.3994
Dataset 359;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;274;7235;0.2057
Dataset 359;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;274;11200;0.1159
Dataset 359;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;274;14928;0.0498
Dataset 359;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;274;17926;0
Dataset 359;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;277;1953;1
Dataset 359;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;277;2600;0.8491
Dataset 359;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;277;3377;0.5867
Dataset 359;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;277;5233;0.3899
Dataset 359;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;277;11980;0.1761
Dataset 359;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;277;15500;0.1159
Dataset 359;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;277;19174;0.0663
Dataset 359;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;277;24041;0
Dataset 359;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;280;2801;1
Dataset 359;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;280;3600;0.825
Dataset 359;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;280;4233;0.6999
Dataset 359;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;280;5068;0.5917
Dataset 359;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;280;8275;0.3924
Dataset 359;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;280;14974;0.251
Dataset 359;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;280;20753;0.1709
Dataset 359;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;280;26690;0.0905
Dataset 359;Hydrate phase equilibria of the guest mixtures containing CO2, N2 and tetrahydrofuran;Kang, S. -P.[Seon-Pil], Lee, H.[Huen], Lee, C. S.[Ching S.] and Sung, W.-M.;Fluid Phase Equilibria 185, 101-109;2001;CO2 + N2 + H2O in Hydrate + Aqueous Liquid + Vapor;280;32308;0
