Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 20;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;302.7;2238.7
Dataset 20;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;305.4;2380.1
Dataset 20;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;310.9;2689.6
Dataset 20;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;316.5;3030.2
Dataset 20;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;322;3403.3
Dataset 20;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;327.6;3810
Dataset 20;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;333.2;4251.3
Dataset 20;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;338.7;4727
Dataset 20;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;344.3;5235.9
Dataset 20;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;349.8;5776.4
Dataset 20;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;355.4;6351.5
Dataset 20;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;360.9;6985.8
Dataset 20;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;366.5;7697.3
Dataset 20;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;372;8671.5
Dataset 20;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-26;1952;H2S + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;302.7;2238.7
Dataset 20;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-27;1952;H2S + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;312;2757.9
Dataset 20;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-28;1952;H2S + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;322.7;3447.4
Dataset 20;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-29;1952;H2S + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;331.7;4136.9
Dataset 20;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-30;1952;H2S + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;339.9;4826.3
Dataset 20;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-31;1952;H2S + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;347.3;5515.8
Dataset 20;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-32;1952;H2S + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;354;6205.3
Dataset 20;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-33;1952;H2S + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;360.2;6894.8
Dataset 20;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-34;1952;H2S + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;365.6;7584.2
Dataset 20;Phase Behavior in the Hydrogen Sulfide-Water System;Selleck, F. T., Carmichael, L. T. and Sage, B. H.;Ind. Eng. Chem. 44, 2219-35;1952;H2S + H2O in Aqueous Liquid + Nonpolar Liquid + Vapor;370;8273.7
