Number of Data;Title;Authors;Source;Year;Compounds;T (K);p (kPa)
Dataset 215;Gas Hydrates of Nitrogen and Oxygen;van Cleeff, A. and Diepen, G. A. M.;Recl. Trav. Chim. Pays-Bas 79, 582-586;1960;N2 + H2O in Hydrate + Aqueous Liquid + Vapor;269.2;10943
Dataset 215;Gas Hydrates of Nitrogen and Oxygen;van Cleeff, A. and Diepen, G. A. M.;Recl. Trav. Chim. Pays-Bas 79, 582-586;1960;N2 + H2O in Hydrate + Aqueous Liquid + Vapor;270.1;11956
Dataset 215;Gas Hydrates of Nitrogen and Oxygen;van Cleeff, A. and Diepen, G. A. M.;Recl. Trav. Chim. Pays-Bas 79, 582-586;1960;N2 + H2O in Hydrate + Aqueous Liquid + Vapor;271;13274
Dataset 215;Gas Hydrates of Nitrogen and Oxygen;van Cleeff, A. and Diepen, G. A. M.;Recl. Trav. Chim. Pays-Bas 79, 582-586;1960;N2 + H2O in Hydrate + Aqueous Liquid + Vapor;273.2;16313
Dataset 215;Gas Hydrates of Nitrogen and Oxygen;van Cleeff, A. and Diepen, G. A. M.;Recl. Trav. Chim. Pays-Bas 79, 582-586;1960;N2 + H2O in Hydrate + Aqueous Liquid + Vapor;275.3;19657
Dataset 215;Gas Hydrates of Nitrogen and Oxygen;van Cleeff, A. and Diepen, G. A. M.;Recl. Trav. Chim. Pays-Bas 79, 582-586;1960;N2 + H2O in Hydrate + Aqueous Liquid + Vapor;278.7;28270
Dataset 215;Gas Hydrates of Nitrogen and Oxygen;van Cleeff, A. and Diepen, G. A. M.;Recl. Trav. Chim. Pays-Bas 79, 582-586;1960;N2 + H2O in Hydrate + Aqueous Liquid + Vapor;281.7;38605
Dataset 215;Gas Hydrates of Nitrogen and Oxygen;van Cleeff, A. and Diepen, G. A. M.;Recl. Trav. Chim. Pays-Bas 79, 582-586;1960;N2 + H2O in Hydrate + Aqueous Liquid + Vapor;284.7;52284
Dataset 215;Gas Hydrates of Nitrogen and Oxygen;van Cleeff, A. and Diepen, G. A. M.;Recl. Trav. Chim. Pays-Bas 79, 582-586;1960;N2 + H2O in Hydrate + Aqueous Liquid + Vapor;287.8;71231
Dataset 215;Gas Hydrates of Nitrogen and Oxygen;van Cleeff, A. and Diepen, G. A. M.;Recl. Trav. Chim. Pays-Bas 79, 582-586;1960;N2 + H2O in Hydrate + Aqueous Liquid + Vapor;290.7;92206
